Wind Resource Bins,Maximum Capacity (MW),WeightedAvgSpur (USD/MW)
22,704.1698003,25.59256686
24,1874.139645,87.55738628
25,1865.443244,73.32464564
26,3657.693836,60.86070071
27,9919.092037,55.21343529
28,11013.63821,41.35885294
29,11796.6438,45.7566361
30,6227.570761,41.76841352
31,8667.993503,38.07132131
32,10349.01924,23.40191706
33,16033.04994,28.97498025
34,11323.36494,36.52183861
35,15787.14872,50.76791435
