y,x,lon,lat,Average Wind Speed at 110m (m/s),NREL ATB Wind Class,Representative Wind Turbine,Capacity Factors,Capacity Factors,Spur Line Cost (USD/MW),LCOE (USD/MWh),Availability Fraction,Maximum Capacity (MW)
41.75,-88.25,-88.25,41.75,5.659147,10,T4,0.32447887809574605,0.32447887809574605,1034.8294995703043,65.82912431745227,0.0,0.0
41.75,-88.0,-88.0,41.75,5.7048435,10,T4,0.3306194526702166,0.3306194526702166,985.7013817446999,63.512060286628255,0.0,0.0
41.75,-87.75,-87.75,41.75,6.072096,9,T3,0.33862462227777557,0.33862462227777557,936.6251441390732,58.08066001390489,0.0,0.0
41.75,-87.5,-87.5,41.75,6.750624,8,T2,0.35530309280753136,0.35530309280753136,887.6098464711248,49.8126321323331,0.0,0.0
41.75,-87.25,-87.25,41.75,6.7863965,8,T2,0.3543808832466602,0.3543808832466602,838.6666291641014,48.92506088646722,0.0,0.0
41.75,-87.0,-87.0,41.75,6.6332874,8,T2,0.3495260515511036,0.3495260515511036,789.8093494693956,48.575101035985234,0.0,0.0
41.75,-86.75,-86.75,41.75,6.119564,9,T3,0.34273860762603847,0.34273860762603847,741.0554636185069,53.180860882220735,0.0,0.0
41.75,-86.5,-86.5,41.75,5.952475,9,T3,0.32303983238556044,0.32303983238556044,692.4272722264299,55.31509330106739,0.0,0.0
41.75,-86.25,-86.25,41.75,5.9152703,9,T3,0.3186081202278522,0.3186081202278522,643.9537136462129,54.96395262219031,0.0,0.0
41.75,-86.0,-86.0,41.75,6.048633,9,T3,0.3356156817688816,0.3356156817688816,595.6730036635938,51.119080782422245,0.0,0.0
41.75,-85.75,-85.75,41.75,6.1119437,9,T3,0.34383065935551876,0.34383065935551876,547.6031305797103,48.86801414364593,0.0,0.0
41.75,-85.5,-85.5,41.75,6.197723,9,T3,0.35413974577961477,0.35413974577961477,499.78612629292337,46.45098586854063,0.0,0.0
41.75,-85.25,-85.25,41.75,6.292358,9,T3,0.364758410401187,0.364758410401187,452.3075818937091,44.14004308161907,0.0,0.0
41.75,-85.0,-85.0,41.75,6.3610806,9,T3,0.37173915903391497,0.37173915903391497,405.47291047737815,42.38322876291733,0.0,0.0
41.75,-84.75,-84.75,41.75,6.3074465,9,T3,0.3641831179303409,0.3641831179303409,359.34312001541235,42.329670176315425,0.0,0.0
41.75,-84.5,-84.5,41.75,6.2706375,9,T3,0.3590842901103621,0.3590842901103621,314.2809395048915,42.0064599785465,0.0,0.0
41.75,-84.25,-84.25,41.75,6.3004174,9,T3,0.36207780206573736,0.36207780206573736,270.83261346074545,40.775365718294736,0.0,0.0
41.75,-84.0,-84.0,41.75,6.2600045,9,T3,0.35715766146946665,0.35715766146946665,229.915378988683,40.4932982208231,0.0,0.0
41.75,-83.75,-83.75,41.75,6.297426,9,T3,0.360719144245953,0.360719144245953,192.28888949493853,39.32523620525526,0.0,0.0
41.75,-83.5,-83.5,41.75,6.457191,9,T3,0.3778005024999697,0.3778005024999697,160.57539352077674,36.92898664188639,0.0,0.0
41.75,-83.25,-83.25,41.75,6.9749494,8,T2,0.3753359037786722,0.3753359037786722,135.5060278628773,32.39550643355111,0.0,0.0
41.75,-83.0,-83.0,41.75,7.34434,7,T1,0.4093544402420521,0.4093544402420521,126.11638329390297,29.28850315992812,0.0,0.0
41.75,-82.75,-82.75,41.75,7.6579347,6,T1,0.43894806745648385,0.43894806745648385,122.77075457573753,27.257752160510456,0.05434055958838756,85.18835965212982
41.75,-82.5,-82.5,41.75,7.8729925,6,T1,0.45634245343506336,0.45634245343506336,123.48945509031357,26.23036911849565,0.00017243571887487637,0.27032323914433914
41.75,-82.25,-82.25,41.75,7.8286343,6,T1,0.4522595654577017,0.4522595654577017,116.29955018385746,26.35008059790307,0.0,0.0
41.75,-82.0,-82.0,41.75,7.801065,6,T1,0.4495930850505829,0.4495930850505829,129.22299663920492,26.718070196054722,0.0,0.0
41.75,-81.75,-81.75,41.75,7.823651,6,T1,0.4509432772099972,0.4509432772099972,157.51925910754235,27.10023078198663,0.0,0.0
41.75,-81.5,-81.5,41.75,7.5474224,7,T1,0.4277089641541243,0.4277089641541243,192.91520468351166,29.181910365607642,0.0,0.0
41.75,-81.25,-81.25,41.75,7.1792626,7,T1,0.3982873464524746,0.3982873464524746,213.52358573197475,31.718680885964186,0.0,0.0
41.75,-81.0,-81.0,41.75,6.430311,9,T3,0.3748280396334171,0.3748280396334171,242.52969443836022,38.832202919610666,0.0,0.0
41.75,-80.75,-80.75,41.75,6.1832604,9,T3,0.3467884096486361,0.3467884096486361,277.4342142829536,42.713298405623675,0.0,0.0
41.75,-80.5,-80.5,41.75,5.994863,9,T3,0.3236971540481971,0.3236971540481971,294.43588893971963,46.147138330267204,0.0,0.0
41.75,-80.25,-80.25,41.75,5.9309,9,T3,0.3149381899312748,0.3149381899312748,283.6737459470452,47.17888341264774,0.0,0.0
41.75,-80.0,-80.0,41.75,5.97456,9,T3,0.31888648257933166,0.31888648257933166,281.3211040586812,46.540400133962,0.0,0.0
41.75,-79.75,-79.75,41.75,5.9847045,9,T3,0.31839414311273206,0.31839414311273206,287.53595072839175,46.756130189547015,0.0,0.0
41.75,-79.5,-79.5,41.75,6.0059333,9,T3,0.3199134546365406,0.3199134546365406,301.69639435601727,46.86008703526436,0.0,0.0
41.75,-79.25,-79.25,41.75,5.9466853,9,T3,0.31175171975297206,0.31175171975297206,322.87478332569987,48.58723840790914,0.0,0.0
41.75,-79.0,-79.0,41.75,6.0263424,9,T3,0.32110441330851014,0.32110441330851014,349.8109986037812,47.78989253712969,0.0,0.0
41.75,-78.75,-78.75,41.75,6.1227813,9,T3,0.33263351226794485,0.33263351226794485,364.0010834735473,46.447689333003396,0.0,0.0
41.75,-78.5,-78.5,41.75,6.1644316,9,T3,0.33729725424762064,0.33729725424762064,378.7857364019684,46.128302508141196,0.0,0.0
41.75,-78.25,-78.25,41.75,6.171791,9,T3,0.3374902012450364,0.3374902012450364,399.16347063570043,46.54664210298119,0.0,0.0
41.75,-78.0,-78.0,41.75,6.202848,9,T3,0.34024269301770954,0.34024269301770954,424.32909164733843,46.71484634850565,0.0,0.0
41.75,-77.75,-77.75,41.75,6.2693257,9,T3,0.3476473946232718,0.3476473946232718,450.69601917305573,46.278449765094656,0.0,0.0
41.75,-77.5,-77.5,41.75,6.122463,9,T3,0.33047181416800486,0.33047181416800486,480.41218012631265,49.345955943219934,0.0,0.0
41.75,-77.25,-77.25,41.75,5.988738,9,T3,0.31578403049817044,0.31578403049817044,513.1569070677355,52.404862293845454,0.0,0.0
41.75,-77.0,-77.0,41.75,5.8498383,10,T4,0.3520801365822554,0.3520801365822554,548.3876957547673,50.49255413981731,0.0,0.0
41.75,-76.75,-76.75,41.75,5.6540437,10,T4,0.3293505604118109,0.3293505604118109,585.655785530035,54.8106303531867,0.0,0.0
41.75,-76.5,-76.5,41.75,5.5580707,10,T4,0.31954378880560397,0.31954378880560397,624.5963075520033,57.39030676898772,0.0,0.0
41.75,-76.25,-76.25,41.75,5.5502462,10,T4,0.31950835038721564,0.31950835038721564,651.7916716433142,58.02356963842796,0.0,0.0
41.75,-76.0,-76.0,41.75,5.595443,10,T4,0.32374604982137684,0.32374604982137684,662.396520997447,57.50532471953319,0.0,0.0
41.75,-75.75,-75.75,41.75,5.695802,10,T4,0.33536533439159394,0.33536533439159394,676.38117909902,55.82008463491173,0.0,0.0
41.75,-75.5,-75.5,41.75,5.7840776,10,T4,0.34573376439511777,0.34573376439511777,693.5411039650251,54.51161949663016,0.0,0.0
41.75,-75.25,-75.25,41.75,5.822641,10,T4,0.3500408930182457,0.3500408930182457,713.6471351353763,54.26392309652248,0.0,0.0
41.75,-75.0,-75.0,41.75,5.775325,10,T4,0.3418802127838135,0.3418802127838135,733.0064474036636,55.97626404416964,0.0,0.0
41.75,-74.75,-74.75,41.75,5.6163588,10,T4,0.3219560912102461,0.3219560912102461,754.6379725062035,59.9351831672407,0.0,0.0
41.75,-74.5,-74.5,41.75,5.285707,10,T4,0.28495027558505537,0.28495027558505537,778.8969947562089,68.34585263564584,0.0,0.0
42.0,-95.0,-95.0,42.0,7.0151706,8,T2,0.38490537695586685,0.38490537695586685,1795.7320364680168,63.35861703501299,0.0,0.0
42.0,-94.75,-94.75,42.0,6.8690224,8,T2,0.3710808615237475,0.3710808615237475,1788.4946362687745,65.57537746504356,0.0,0.0
42.0,-94.5,-94.5,42.0,6.746369,8,T2,0.3587411405444145,0.3587411405444145,1782.4623752285916,67.70714614604022,0.0,0.0
