,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.005893994408547267
9,0.03831096365555723
10,0.1060918993538508
11,0.13850886860086076
12,0.18271382666496525
13,0.19155481827778614
14,0.14440286300940802
15,0.07367493010684083
16,0.014734986021368164
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.014734986021368164
33,0.047151955268378135
34,0.10314490214957717
35,0.17681983225641798
36,0.22397178752479613
37,0.22397178752479613
38,0.16208484623504982
39,0.0618869412897463
40,0.011787988817094534
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0088409916128209
57,0.032416969247009965
58,0.1149328909666717
59,0.18271382666496525
60,0.15913784903077619
61,0.10314490214957717
62,0.09725090774102989
63,0.047151955268378135
64,0.0088409916128209
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.005893994408547267
81,0.05009895247265176
82,0.12082688537521895
83,0.19155481827778614
84,0.2770177372017215
85,0.2946997204273633
86,0.25344175956753245
87,0.12966787698803986
88,0.02946997204273633
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0265229748384627
105,0.1414558658051344
106,0.27407073999744785
107,0.3447986729000151
108,0.3654276533299305
109,0.34185167569574143
110,0.28880572601881604
111,0.1502968574179553
112,0.0353639664512836
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0265229748384627
129,0.1060918993538508
130,0.2298657819333434
131,0.2976467176316369
132,0.35363966451283596
133,0.35069266730856236
134,0.29175272322308965
135,0.15324385462222892
136,0.03831096365555723
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0176819832256418
153,0.06483393849401993
154,0.1502968574179553
155,0.15324385462222892
156,0.11198589376239806
157,0.07956892451538809
158,0.0618869412897463
159,0.03831096365555723
160,0.011787988817094534
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0176819832256418
178,0.0353639664512836
179,0.05893994408547266
180,0.05599294688119903
181,0.05893994408547266
182,0.07956892451538809
183,0.06483393849401993
184,0.011787988817094534
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.05009895247265176
201,0.15913784903077619
202,0.22397178752479613
203,0.3153287008572787
204,0.2976467176316369
205,0.2416537707504379
206,0.20334280709488067
207,0.10903889655812442
208,0.02946997204273633
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.05009895247265176
225,0.23575977634189063
226,0.46562555827523405
227,0.5658234632205376
228,0.41552660580258227
229,0.25344175956753245
230,0.15324385462222892
231,0.05599294688119903
232,0.0088409916128209
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.014734986021368164
249,0.0530459496769254
250,0.12672087978376623
251,0.19450181548205978
252,0.31827569806155237
253,0.25638875677180606
254,0.10903889655812442
255,0.047151955268378135
256,0.0029469972042736334
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.02062898042991543
274,0.0353639664512836
275,0.047151955268378135
276,0.05599294688119903
277,0.04125796085983086
278,0.04125796085983086
279,0.0176819832256418
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.011787988817094534
297,0.09430391053675627
298,0.20039580989060704
299,0.265229748384627
300,0.30648770924445784
301,0.2946997204273633
302,0.19155481827778614
303,0.12082688537521895
304,0.0265229748384627
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.05009895247265176
321,0.13556187139658712
322,0.2622827511803534
323,0.3565866617171096
324,0.46267856107096034
325,0.40373861698548774
326,0.2151307959119752
327,0.09430391053675627
328,0.044204958064104495
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.047151955268378135
345,0.12082688537521895
346,0.19155481827778614
347,0.25344175956753245
348,0.24460076795471156
349,0.15324385462222892
350,0.12966787698803986
351,0.07367493010684083
352,0.014734986021368164
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.005893994408547267
369,0.0353639664512836
370,0.08840991612820899
371,0.1237738825794926
372,0.13556187139658712
373,0.12672087978376623
374,0.1149328909666717
375,0.07662192731111446
376,0.0176819832256418
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0088409916128209
393,0.07662192731111446
394,0.1856608238692389
395,0.20923680150342797
396,0.33595768128719417
397,0.38900363096411955
398,0.32416969247009964
399,0.1974488126863334
400,0.05599294688119903
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.014734986021368164
417,0.08546291892393536
418,0.17681983225641798
419,0.21807779311624884
420,0.22397178752479613
421,0.2121837987077016
422,0.16503184343932345
423,0.07956892451538809
424,0.0353639664512836
425,0.0029469972042736334
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
