time,"(-83.0, 46.25)","(-82.75, 46.25)","(-82.5, 46.25)","(-89.25, 48.5)","(-84.0, 46.5)","(-89.0, 48.5)","(-83.25, 46.25)","(-83.75, 46.5)","(-82.25, 46.25)","(-84.25, 46.5)","(-83.25, 46.5)","(-94.5, 49.75)","(-83.5, 46.5)","(-94.75, 49.75)","(-88.0, 49.0)","(-83.0, 46.5)","(-88.25, 49.0)","(-95.0, 49.75)","(-94.0, 49.25)","(-82.0, 46.25)"
2018-04-15 10:00:00,0.06225063191009328,0.06923513802960402,0.0774400160583151,0.28705947576753854,0.03784504898673139,0.24802839085972248,0.0564740048419349,0.03349189786198407,0.08016162228163573,0.041869505345478994,0.033631802214511806,0.4193218419274117,0.03269118204243272,0.46013229871619693,0.3992928190629693,0.038103860600521636,0.39565225025309153,0.49158010574273947,0.2714864113552141,0.08558034220535674
2018-04-15 11:00:00,0.11073537579405099,0.12005474708948748,0.130514183645212,0.2833987627818464,0.0684740726364141,0.26800387216856236,0.10256880570116148,0.05889264491672857,0.13013430596055858,0.0790676589588584,0.054187457034255156,0.611324532808317,0.05509574403975926,0.6668519519842685,0.4610591911986791,0.059477321026924615,0.46927205834604135,0.7172495715517124,0.41888560409906556,0.13250708830022426
2018-04-15 12:00:00,0.12762225221429663,0.1251282159424826,0.12979293428902802,0.1530221067962976,0.11564282403558741,0.13917049198878878,0.13462309472152553,0.09545478516797774,0.1419989686153054,0.1337448715427198,0.07954075054855114,0.6263353599643435,0.08438066948375858,0.651163616380161,0.37856010053181544,0.084439437289967,0.3459170279358947,0.6825478997791581,0.4931685809974433,0.1583884613434762
2018-04-15 13:00:00,0.14301737631142375,0.14438684091548729,0.14860837888650155,0.3291851397643264,0.1164378065039656,0.312959591348611,0.14514584859710167,0.11757364108773721,0.15566825271409265,0.11154981392162605,0.11560261650478931,0.6329412149560599,0.1183124041238436,0.6657518708945462,0.38259727131193577,0.11039195612732156,0.3631296563448865,0.6871360531331413,0.5032831964887807,0.16641257545582175
2018-04-15 14:00:00,0.13664366965827496,0.13358648600254944,0.13369755409553902,0.4289579994765354,0.09792403410309322,0.41906414809486214,0.14114817609161004,0.10058067689752531,0.1398623153803234,0.09200654675915658,0.10635769074127951,0.7208766794474102,0.10405706552591674,0.7383477955606852,0.4580100460819448,0.10794033581857952,0.4627644505060007,0.7602661400379213,0.6951962515552393,0.15145129171533425
2018-04-15 15:00:00,0.11557786165103223,0.11317089527080888,0.11025117824137215,0.34406795464263185,0.08563711846623129,0.30057574732874937,0.11658054404584782,0.08611073439416435,0.10502472310881657,0.08282160752063775,0.0885842993591026,0.7769249299057881,0.08747480494546031,0.7719441557826768,0.4687187015556912,0.08875636028130536,0.47437709269794703,0.7730079038850202,0.7179571251496848,0.10269521367875883
2018-04-15 16:00:00,0.08928844814877136,0.09150181320433273,0.09130577039152549,0.21249304440914563,0.058609566698062755,0.21393491868875245,0.08405910031281605,0.0597260132896041,0.08253912643989217,0.05720481960368229,0.06811903528281717,0.7517511290026617,0.06291996949545679,0.7795405605528253,0.33937447085062505,0.07348716746034668,0.3459287390772801,0.7904323717212998,0.5942730126193501,0.0759464780789271
2018-04-15 17:00:00,0.09037111985197435,0.09187396574665918,0.08908699291466271,0.13882808085583626,0.0521551032867684,0.13624616138180337,0.08397773818677494,0.05188874790845515,0.07247106183007215,0.05177252732044052,0.060831956994811844,0.575094981698629,0.0553008386222569,0.6110854736462581,0.2715282716653244,0.06675600240915291,0.25726138964278444,0.645370920576703,0.4153564385983531,0.058074250662565226
2018-04-15 18:00:00,0.03774832455393596,0.03774008168048246,0.036870487231162895,0.08926859339203107,0.026194633759909356,0.08167194332488631,0.03680897539602478,0.026199981174114585,0.0341038173253212,0.025392567691556792,0.02797166888268619,0.5073510983524522,0.026992381937246738,0.5384231325314303,0.14752082197619903,0.028512521811484955,0.14877355694804026,0.5831591568631966,0.3896482544752298,0.03263169051638442
2018-04-15 19:00:00,0.013240600930451426,0.011903374754229928,0.010571680308502411,0.02823099033460544,0.01092250067998979,0.024389109506142,0.014312325895803666,0.009483473297089848,0.008960243516560227,0.011788104367165497,0.008101119289685002,0.31482415286733656,0.008629946784834253,0.3395222365513967,0.06980756046160644,0.007709086814113887,0.06485845229583279,0.3798507194225888,0.23732648200614193,0.007973361605732799
