x,y,Max Capacity (MW),LCOE without Spur,LCOE with Spur,Capacity Factor,Interconnection Cost ($/kW),Availability Fraction
-95.0,41.75,0.0,53.0536664384233,111.35738912664985,0.2175002608140263,1861.772937254525,0.0
-95.0,42.0,0.0,53.018317405919014,109.21641849082135,0.2176452752951601,1795.7320364680168,0.0
-95.0,42.25,0.0,53.206463199871756,107.53182317617808,0.2168756499403109,1729.7528392442164,0.0
-95.0,42.5,0.0,53.360613650186025,105.76736597066996,0.21624913017575828,1663.842686231246,0.0
-95.0,42.75,0.0,53.359889325656596,103.6924024362136,0.21625206561193389,1598.010120788201,0.0
-95.0,43.0,0.0,53.41126510784049,101.71947635351378,0.21604405482998995,1532.265143535954,0.0
-95.0,43.25,0.0,53.46769665302689,99.75513111187244,0.21581603491131818,1466.6195337386116,0.0
-95.0,43.5,0.0,53.44802610855949,97.65095271150457,0.21589546195887419,1401.087258677457,0.0
-95.0,43.75,0.0,53.481635242477495,95.64768298647027,0.21575978810633833,1335.685000093641,0.0
-95.0,44.0,0.0,53.62534129540477,93.83921871536988,0.215181591552616,1270.4328381282176,0.0
-95.0,44.25,0.0,54.017332810195946,92.45016005432576,0.2136200676187285,1205.3551496887321,0.0
-95.0,44.5,0.0,54.330933033010574,90.90638429090119,0.21238704442065082,1140.4818024914705,0.0
-95.0,44.75,0.0,54.30300937321507,88.78796694612039,0.2124962579548882,1075.8497624005129,0.0
-95.0,45.0,0.0,54.30650531808634,86.73107216273701,0.2124825786507457,1011.5052869156582,0.0
-95.0,45.25,0.0,54.67156756348535,85.24879517658695,0.211063754008845,947.5069628503771,0.0
-95.0,45.5,0.0,54.68766473965332,83.22158295636366,0.21100162792525504,883.9299797207183,0.0
-95.0,45.75,0.0,54.651686283491046,81.13262077024687,0.21114053512714995,820.872242713292,0.0
-95.0,46.0,0.0,54.62499234158436,79.08069321528261,0.21124371451331053,758.4632715300967,0.0
-95.0,46.25,0.0,54.53163932031431,76.96317965471047,0.21160534382099172,696.8773890925819,0.0
-95.0,46.5,0.0,54.47701457671976,74.9398581525468,0.21181752298938536,636.3536143664071,0.0
-95.0,46.75,0.0,54.51058796776938,73.0835437851627,0.2116870633338284,577.2261391047083,0.0
-95.0,47.0,0.0,54.44120672934405,71.15063015664845,0.2119568426332796,519.971513641022,0.0
-95.0,47.25,0.0,54.502360630201174,69.47110578143577,0.21171901829703973,465.2816358110264,0.0
-95.0,47.5,0.0,54.38181181257908,67.67687510873638,0.21218833839641005,414.17374691473,0.0
-95.0,47.75,0.0,54.06740166571018,65.63398975680404,0.21342224578947414,362.42287490295143,0.0
-95.0,48.0,0.0,53.76042099608282,63.71853674802352,0.21464092121485073,313.8053470947774,0.0
-95.0,48.25,0.0,54.24533889682239,62.98698837628648,0.2127221715665854,273.0088916300339,0.0
-95.0,48.5,0.0,54.809891146650095,62.46997966053435,0.2105310929485887,236.76673146037956,0.0
-95.0,48.75,0.0,54.88900474853573,61.740659226257755,0.21022764650884382,211.47348772204523,0.0
-95.0,49.0,0.0,53.507060882177555,59.45647415867475,0.21565726274718558,188.36875725678615,0.0
-95.0,49.25,299.53746631704837,54.03623364939887,59.11656402885328,0.21354534741200987,159.27687097606542,0.020361310879456557
-95.0,49.5,6519.447663945738,54.43969483940231,57.77173736292632,0.21196272906264713,103.69090941840226,0.4453989261357339
-95.0,49.75,8446.104401728559,54.89028444975672,56.107017383974416,0.21022274530312737,37.55308433359002,0.5799602451986682
-95.0,50.0,10128.68190643221,55.418803123952536,56.3574755605256,0.20821789062618848,28.694770361863853,0.6990656625874001
-95.0,50.25,7240.469970324448,55.78995006237367,58.913883168032314,0.2068327050767478,94.86184850899855,0.5023137932066766
-95.0,50.5,7443.123806497395,56.265125428054,61.61328179562679,0.20508594266358712,161.0314247797518,0.5190714719788007
-95.0,50.75,61.359534692751545,56.88310737327527,64.50926733272254,0.20285787504145283,227.12682398421302,0.004301679247539115
-95.0,51.0,0.46238622700344334,57.39554031937124,67.33633614139922,0.20104674027439892,293.4194072406618,3.258859248431436e-05
-95.0,51.25,0.0,57.56767017444523,69.80523692079855,0.20044560171587003,360.1324457587487,0.0
-95.0,51.5,0.45246527047994617,57.747222880374444,72.29842538586745,0.19982235875483192,426.88767057464327,3.2234315894337886e-05
-95.0,51.75,0.0,57.77677273604526,74.60418907970875,0.19972015986795427,493.41232196561964,0.0
-95.0,52.0,213.1966351907489,57.99661146113888,77.16849125502593,0.19896311175402634,560.0256356678897,0.015355769905190412
-95.0,52.25,2199.1249484327764,58.29701708076497,79.86624719624027,0.19793785111699586,626.8074369458734,0.15927692259993298
